Date,Settle,Volume
9/11/2015,12.6,25
9/10/2015,12.435,78
9/9/2015,12.215,71
9/8/2015,12.01,47
9/4/2015,11.85,0
9/3/2015,11.795,77
9/2/2015,11.69,603
9/1/2015,11.595,484
8/31/2015,11.88,776
8/28/2015,11.59,828
8/27/2015,11.3,750
8/26/2015,11.31,861
8/25/2015,11.345,1223
8/24/2015,11.395,956
8/21/2015,11.65,946
8/20/2015,11.635,619
8/19/2015,11.9,467
8/18/2015,11.84,490
8/17/2015,11.995,409
8/14/2015,11.82,461
8/13/2015,11.9,536
8/12/2015,11.71,795
8/11/2015,11.79,3001
8/10/2015,11.86,1052
8/7/2015,11.43,292
8/6/2015,11.44,810
8/5/2015,11.54,285
8/4/2015,11.455,1146
8/3/2015,11.395,794
7/31/2015,11.515,944
7/30/2015,11.435,1230
7/29/2015,11.2,491
7/28/2015,10.98,323
7/27/2015,10.96,504
7/24/2015,11.045,450
7/23/2015,11.11,442
7/22/2015,11.12,527
7/21/2015,11.005,474
7/20/2015,10.89,415
7/17/2015,10.92,595
7/16/2015,10.96,434
7/15/2015,11.06,247
7/14/2015,11.08,664
7/10/2015,10.855,49
7/9/2015,10.815,35
7/8/2015,10.765,123
7/7/2015,10.645,148
7/6/2015,10.565,190
7/2/2015,10.38,161
7/1/2015,10.355,276
6/30/2015,10.165,650
6/29/2015,9.79,1242
6/26/2015,9.96,966
6/25/2015,10.045,759
6/24/2015,10.125,770
6/23/2015,9.835,696
6/22/2015,9.845,608
6/19/2015,9.72,704
6/18/2015,9.815,820
6/17/2015,9.73,1084
6/16/2015,9.8,936
6/15/2015,9.775,1001
6/12/2015,9.68,501
6/11/2015,9.795,644
6/10/2015,9.87,605
6/9/2015,9.98,534
6/8/2015,9.945,312
6/5/2015,9.805,474
6/4/2015,9.925,307
6/3/2015,9.865,495
6/2/2015,9.775,394
6/1/2015,9.65,566
5/29/2015,9.51,730
5/28/2015,9.51,1164
5/27/2015,9.43,415
5/26/2015,9.42,312
5/22/2015,9.43,337
5/21/2015,9.615,229
5/20/2015,9.57,238
5/19/2015,9.65,208
5/18/2015,9.795,336
5/15/2015,9.575,332
5/14/2015,9.635,364
5/13/2015,9.22,13
5/12/2015,9.22,12
5/11/2015,9.38,25
5/8/2015,9.505,0
5/7/2015,9.465,75
5/6/2015,9.545,29
5/5/2015,9.72,13
5/4/2015,9.85,109
5/1/2015,9.95,363
4/30/2015,10.03,295
4/29/2015,10.16,1275
4/28/2015,9.965,764
4/27/2015,9.855,814
4/24/2015,9.98,689
4/23/2015,10.06,846
4/22/2015,10.155,749
4/21/2015,9.98,1608
4/20/2015,9.775,527
4/17/2015,9.905,1331
4/16/2015,9.965,927
4/15/2015,10.095,651
4/14/2015,10.21,1120
4/13/2015,10.105,524
4/10/2015,10.26,1225
4/9/2015,10.4,1196
4/8/2015,10.575,874
4/7/2015,10.68,1322
4/6/2015,10.825,156
4/2/2015,10.865,322
4/1/2015,10.78,564
3/31/2015,10.875,877
3/30/2015,11.12,596
3/27/2015,10.99,266
3/26/2015,11.11,256
3/25/2015,10.96,408
3/24/2015,11.125,655
3/23/2015,11.03,345
3/20/2015,10.92,204
3/19/2015,10.925,544
3/18/2015,11.045,603
3/17/2015,10.625,196
3/16/2015,10.525,359
3/13/2015,10.58,223
3/12/2015,10.47,85
3/11/2015,10.505,42
3/10/2015,10.29,13
3/9/2015,10.305,65
3/6/2015,10.235,52
3/5/2015,10.35,101
3/4/2015,10.465,117
3/3/2015,10.36,118
3/2/2015,10.535,104
2/27/2015,10.47,294
2/26/2015,10.385,842
2/25/2015,10.495,804
2/24/2015,10.445,691
2/23/2015,10.465,450
2/20/2015,10.79,840
2/19/2015,10.8,1008
2/18/2015,10.87,1384
2/17/2015,10.68,1223
2/13/2015,10.525,836
2/12/2015,10.33,558
